partial;500;132;368;48;2
partial;1000;141;359;53;2
partial;1500;70;430;61;2
partial;2000;13;487;55;2
0;500;2394;3.27163;2;0;47
partial;500;315;185;54;3
partial;1000;228;272;52;3
partial;1500;285;215;47;3
partial;2000;243;257;33;3
partial;2500;160;340;38;3
partial;3000;252;248;47;3
partial;3500;463;37;53;3
partial;4000;497;3;53;3
500;0;4022;5.65821;3;40;0
partial;500;205;295;54;0
partial;1000;403;97;50;0
partial;1500;454;46;47;0
partial;2000;423;77;44;0
partial;2500;425;75;57;0
partial;3000;316;184;50;0
partial;3500;228;272;55;0
partial;4000;348;152;46;0
partial;4500;342;158;45;0
partial;5000;283;217;45;0
283;217;-1;6.30731;0;30;15
partial;500;325;175;44;1
partial;1000;409;91;54;1
partial;1500;456;44;50;1
partial;2000;420;80;49;1
partial;2500;403;97;48;1
partial;3000;425;75;54;1
partial;3500;287;213;61;1
partial;4000;216;284;45;1
partial;4500;216;284;60;1
partial;5000;170;330;46;1
170;330;-1;6.41206;1;18;28
partial;500;152;348;47;6
partial;1000;254;246;52;6
partial;1500;179;321;43;6
0;500;1908;2.57899;6;0;71
partial;500;112;388;53;4
partial;1000;63;437;53;4
partial;1500;76;424;54;4
partial;2000;153;347;47;4
partial;2500;281;219;49;4
partial;3000;215;285;51;4
partial;3500;351;149;50;4
partial;4000;223;277;50;4
partial;4500;188;312;46;4
partial;5000;241;259;46;4
241;259;-1;6.3448;4;23;23
partial;500;132;368;48;5
partial;1000;164;336;56;5
partial;1500;87;413;48;5
partial;2000;141;359;57;5
partial;2500;89;411;58;5
partial;3000;6;494;42;5
partial;3500;6;494;48;5
0;500;3555;4.18177;5;0;57
partial;500;84;416;56;7
partial;1000;54;446;50;7
partial;1500;75;425;48;7
partial;2000;155;345;43;7
partial;2500;36;464;55;7
partial;3000;29;471;44;7
0;500;3199;3.96711;7;0;54
partial;500;195;305;43;9
partial;1000;462;38;43;9
partial;1500;491;9;55;9
500;0;1622;1.96135;9;38;0
partial;500;375;125;54;11
partial;1000;475;25;49;11
partial;1500;494;6;55;11
500;0;1620;2.02535;11;45;0
partial;500;288;212;48;8
partial;1000;343;157;48;8
partial;1500;249;251;39;8
partial;2000;346;154;44;8
partial;2500;363;137;61;8
partial;3000;435;65;54;8
partial;3500;481;19;51;8
500;0;3729;4.49493;8;53;0
partial;500;101;399;55;13
partial;1000;8;492;54;13
partial;1500;9;491;50;13
0;500;1681;2.13143;13;0;44
partial;500;232;268;53;10
partial;1000;280;220;48;10
partial;1500;215;285;53;10
partial;2000;44;456;43;10
partial;2500;108;392;46;10
partial;3000;158;342;64;10
partial;3500;406;94;56;10
partial;4000;435;65;45;10
partial;4500;499;1;48;10
500;0;4559;5.36867;10;46;0
partial;500;184;316;58;14
partial;1000;89;411;41;14
partial;1500;18;482;51;14
0;500;1886;2.49185;14;0;50
partial;500;337;163;58;12
partial;1000;305;195;52;12
partial;1500;341;159;59;12
partial;2000;277;223;46;12
partial;2500;128;372;51;12
partial;3000;27;473;51;12
partial;3500;1;499;65;12
0;500;3606;4.21833;12;0;51
partial;500;255;245;45;16
partial;1000;284;216;55;16
partial;1500;364;136;47;16
partial;2000;381;119;52;16
partial;2500;440;60;47;16
500;0;2933;4.03288;16;45;0
partial;500;389;111;57;18
partial;1000;438;62;54;18
partial;1500;462;38;52;18
partial;2000;449;51;47;18
partial;2500;282;218;55;18
partial;3000;429;71;53;18
partial;3500;494;6;50;18
500;0;3553;4.62278;18;61;0
partial;500;213;287;58;15
partial;1000;206;294;51;15
partial;1500;297;203;52;15
partial;2000;285;215;50;15
partial;2500;148;352;49;15
partial;3000;215;285;42;15
partial;3500;383;117;48;15
partial;4000;430;70;45;15
partial;4500;432;68;49;15
partial;5000;395;105;55;15
395;105;-1;6.3248;15;41;14
partial;500;278;222;49;17
partial;1000;385;115;51;17
partial;1500;449;51;53;17
partial;2000;411;89;54;17
partial;2500;425;75;44;17
partial;3000;475;25;50;17
partial;3500;374;126;47;17
partial;4000;389;111;47;17
partial;4500;384;116;43;17
partial;5000;375;125;39;17
375;125;-1;6.1048;17;26;13
partial;500;127;373;45;19
partial;1000;90;410;44;19
partial;1500;55;445;62;19
0;500;1825;2.74317;19;0;44
partial;500;404;96;44;21
partial;1000;364;136;67;21
partial;1500;410;90;55;21
partial;2000;433;67;53;21
partial;2500;475;25;47;21
500;0;2774;3.20767;21;46;0
partial;500;145;355;47;22
partial;1000;348;152;46;22
partial;1500;489;11;44;22
500;0;1579;2.36377;22;55;0
partial;500;338;162;43;20
partial;1000;389;111;57;20
partial;1500;478;22;47;20
partial;2000;360;140;52;20
partial;2500;363;137;47;20
partial;3000;455;45;53;20
partial;3500;495;5;46;20
500;0;3682;4.20613;20;47;0
partial;500;169;331;49;23
partial;1000;164;336;54;23
partial;1500;14;486;48;23
partial;2000;8;492;47;23
0;500;2090;2.51083;23;0;55
partial;500;380;120;46;26
partial;1000;466;34;56;26
partial;1500;484;16;58;26
500;0;1733;2.39551;26;45;0
partial;500;128;372;58;27
partial;1000;34;466;58;27
partial;1500;31;469;54;27
0;500;1740;2.40197;27;0;57
partial;500;338;162;50;28
partial;1000;448;52;36;28
500;0;1271;1.6364;28;56;0
partial;500;256;244;45;24
partial;1000;159;341;48;24
partial;1500;62;438;58;24
partial;2000;83;417;62;24
partial;2500;141;359;62;24
partial;3000;176;324;44;24
partial;3500;213;287;43;24
partial;4000;214;286;42;24
partial;4500;91;409;56;24
partial;5000;141;359;46;24
141;359;-1;5.82519;24;19;27
partial;500;231;269;45;25
partial;1000;185;315;54;25
partial;1500;136;364;48;25
partial;2000;111;389;50;25
partial;2500;146;354;44;25
partial;3000;246;254;66;25
partial;3500;234;266;49;25
partial;4000;271;229;69;25
partial;4500;306;194;56;25
partial;5000;324;176;52;25
324;176;-1;5.98461;25;35;17
partial;500;343;157;52;29
partial;1000;247;253;44;29
partial;1500;374;126;57;29
partial;2000;428;72;54;29
500;0;2373;2.89842;29;50;0
partial;500;126;374;51;31
partial;1000;75;425;58;31
partial;1500;153;347;42;31
partial;2000;78;422;48;31
partial;2500;14;486;57;31
0;500;2601;3.16619;31;0;42
partial;500;190;310;49;30
partial;1000;200;300;47;30
partial;1500;358;142;49;30
partial;2000;336;164;42;30
partial;2500;367;133;67;30
partial;3000;237;263;43;30
partial;3500;100;400;48;30
partial;4000;16;484;56;30
0;500;4147;4.99738;30;0;50
partial;500;219;281;45;34
partial;1000;16;484;58;34
0;500;1238;1.98896;34;0;46
partial;500;227;273;51;33
partial;1000;270;230;40;33
partial;1500;369;131;50;33
partial;2000;374;126;44;33
partial;2500;472;28;59;33
partial;3000;490;10;57;33
partial;3500;352;148;48;33
partial;4000;441;59;50;33
partial;4500;388;112;64;33
partial;5000;373;127;41;33
373;127;-1;5.97828;33;35;6
partial;500;275;225;43;32
partial;1000;316;184;45;32
partial;1500;205;295;52;32
partial;2000;346;154;65;32
partial;2500;362;138;59;32
partial;3000;360;140;57;32
partial;3500;242;258;55;32
partial;4000;163;337;49;32
partial;4500;146;354;45;32
partial;5000;194;306;42;32
194;306;-1;6.41488;32;17;25
partial;500;214;286;52;35
partial;1000;354;146;46;35
partial;1500;453;47;52;35
partial;2000;380;120;47;35
partial;2500;416;84;46;35
partial;3000;446;54;49;35
partial;3500;480;20;44;35
500;0;3817;4.75802;35;49;0
partial;500;198;302;55;36
partial;1000;174;326;44;36
partial;1500;57;443;53;36
partial;2000;13;487;59;36
partial;2500;12;488;56;36
0;500;2813;3.46834;36;0;42
partial;500;223;277;48;38
partial;1000;146;354;59;38
partial;1500;44;456;48;38
partial;2000;20;480;53;38
partial;2500;95;405;49;38
partial;3000;35;465;31;38
partial;3500;2;498;60;38
0;500;3513;4.44854;38;0;51
partial;500;211;289;55;37
partial;1000;315;185;57;37
partial;1500;372;128;63;37
partial;2000;434;66;46;37
partial;2500;322;178;47;37
partial;3000;282;218;53;37
partial;3500;357;143;59;37
partial;4000;475;25;42;37
500;0;4374;5.35983;37;54;0
partial;500;178;322;50;39
partial;1000;163;337;46;39
partial;1500;127;373;50;39
partial;2000;386;114;40;39
partial;2500;324;176;49;39
partial;3000;323;177;50;39
partial;3500;461;39;51;39
500;0;3733;4.59513;39;53;0
partial;500;258;242;40;40
partial;1000;107;393;50;40
partial;1500;183;317;40;40
partial;2000;285;215;41;40
partial;2500;241;259;57;40
partial;3000;314;186;45;40
partial;3500;271;229;50;40
partial;4000;399;101;48;40
partial;4500;338;162;42;40
partial;5000;344;156;57;40
344;156;-1;6.41453;40;46;11
partial;500;310;190;45;41
partial;1000;314;186;49;41
partial;1500;390;110;54;41
partial;2000;486;14;45;41
